时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2013-01-29,5403.4,5417.4,5405.210526315789,5405.210526315789,5389.431683271729,73.78571428571429,46.66666666666666,25.799480858507195,35.213788215658454,-9.41430735715126,5521.113894011792,5289.307158619787,5405.210526315789,231.80673539200507,30.83243079395512,33.53955907541727,25.418174231030804,-69.95708154506438,-17.262728862675278,9.311061406430944,46887.57894736842,239121,0.0,0.0,0.0
2013-01-30,5394.0,5412.3,5404.0,5404.0,5388.628665817279,70.64285714285714,41.69014084507042,22.10656900867707,32.592344374262176,-10.485775365585106,5517.330443719612,5290.669556280388,5404.0,226.6608874392241,31.492453862636744,32.8571906711571,28.762980245596022,-72.96137339055794,-25.389293832561467,0.0,45013.7,229711,0.0,0.0,0.0
2013-01-31,5381.0,5408.4,5410.8,5404.047619047619,5390.187840501347,70.35714285714286,44.354838709677416,20.875865206005077,30.24904854061076,-9.373183334605685,5504.674720547625,5316.925279452375,5410.8,187.7494410952495,36.09913590842449,33.93783908357956,40.42172955811435,-62.66094420600859,-19.49728818830265,6.152635719905576,42375.7,238994,0.0,0.0,0.0
2013-02-01,5396.0,5409.3,5418.45,5405.045454545455,5393.598522358361,65.5,49.20634920634921,21.348950657403293,28.469028963969265,-7.120078306565972,5486.398819748859,5350.501180251141,5418.45,135.89763949771805,42.81609060561632,36.89725625759182,54.65375930166533,-53.648068669527895,-4.975409795744951,17.354497354497358,39023.5,244469,0.0,0.0,0.0
2013-02-04,5403.6,5407.7,5422.05,5405.608695652174,5395.9224726099455,63.21428571428572,43.34277620396601,20.83813212892801,26.94284959696101,-6.104717468033005,5480.850196920542,5363.249803079459,5422.05,117.60039384108312,45.905171514855326,39.89989467667965,57.91572519120666,-57.081545064377686,-18.35501613455988,4.690597897480403,37373.7,235541,0.0,0.0,0.0
2013-02-05,5412.8,5408.1,5421.75,5406.791666666667,5399.548903789951,58.21428571428572,50.29761904761904,21.476799867256887,25.84963965102019,-4.372839783763304,5480.224915899669,5363.275084100331,5421.75,116.94983179933844,50.7423365654591,43.51404197293947,65.19892575049838,-39.583333333333336,21.94364050861233,24.4302041234698,32689.6,244737,0.0,0.0,0.0
2013-02-06,5419.2,5406.6,5421.75,5407.04,5400.829960571859,57.92857142857143,45.5072463768116,20.057217042673983,24.691155129350957,-4.63393808667697,5480.224915899669,5363.275084100331,5421.75,116.94983179933844,53.496961437014136,46.841681794297685,66.80752072244704,-50.520833333333336,-2.5695618603050194,11.86920590308226,30757.85,235003,0.0,0.0,0.0
2013-02-07,5418.6,5399.8,5419.85,5406.846153846154,5400.9413928983495,55.85714285714285,47.72036474164133,17.838943125491824,23.32071272857913,-5.481769603087308,5478.297547334969,5361.402452665032,5419.85,116.89509466993697,50.41873931866516,48.03403430242018,55.18814935115512,-56.25,-25.572670380033383,18.750848902372034,28480.8,230354,0.0,0.0,0.0
2013-02-08,5412.6,5404.3,5417.3,5406.444444444444,5400.470784050887,55.85714285714285,44.02515723270441,15.41905395248068,21.740380973359443,-6.321327020878762,5475.207730599271,5359.39226940073,5417.3,115.81546119854102,45.30839931185865,47.12548930556634,41.674219324443285,-59.375,-26.270175571279218,7.260682226738705,27562.55,221586,0.0,0.0,0.0
2013-02-11,5409.4,5406.5,5415.8,5406.285714285715,5400.616423665088,54.21428571428572,45.625,13.826046150805269,20.15751400884861,-6.331467858043343,5473.658629888992,5357.941370111008,5415.8,115.71725977798452,43.65589193889992,45.96895685001087,39.02976211667803,-56.25,-27.733255001033623,12.235358210854484,25409.6,224493,0.0,0.0,0.0
2013-02-19,5399.2,5406.0,5411.7,5405.482758620689,5398.938669030318,54.5,43.323442136498514,10.904731820139205,18.30695757110673,-7.402225750967524,5466.414955138328,5356.985044861672,5411.7,109.4299102766563,36.07362492896358,42.67051287632844,22.87984903423387,-66.14583333333333,-63.54538401970083,5.078714530820755,23604.8,222165,0.0,0.0,0.0
2013-02-20,5401.4,5410.3,5411.3,5406.1,5401.325462456002,54.142857142857146,43.15476190476191,11.762337608703092,16.998033578626004,-5.235695969922912,5465.504680318409,5357.095319681592,5411.3,108.40936063681691,43.26830250519494,42.869776085950605,44.06535534368362,-34.161490683229815,37.09601748201319,16.54093974018772,20719.25,235750,0.0,0.0,0.0
2013-02-21,5405.8,5412.2,5410.3,5406.677419354839,5403.484942222097,45.07142857142857,66.82027649769586,12.300207242378749,16.05846831137655,-3.758261068997804,5462.671547116429,5357.928452883572,5410.3,104.7430942328574,48.06475422268251,44.60143546486124,54.99139173832506,-38.21138211382114,30.811244046537105,100.0,19593.2,235750,0.0,0.0,0.0
2013-02-22,5410.8,5411.7,5410.5,5407.125,5405.153042962849,48.07142857142857,60.73298429319373,12.34212553380712,15.315199755862666,-2.973074222055546,5463.009648236249,5357.990351763751,5410.5,105.01929647249744,50.36148780010666,46.52145290994305,58.041557580433874,-43.47826086956522,14.157660444860143,75.77692262132229,19749.45,211749,0.0,0.0,0.0
2013-02-25,5418.6,5414.0,5410.85,5408.151515151515,5408.56703887115,54.142857142857146,63.05418719211823,13.829758092233533,15.01811142313684,-1.1883533309033076,5464.107171496328,5357.5928285036725,5410.85,106.51434299265566,50.66293279500781,47.90194620496464,56.18490597509417,-47.53086419753087,67.8844989373906,85.01365309906646,20359.3,256253,0.0,0.0,0.0
2013-02-26,5417.8,5408.5,5408.3,5407.294117647059,5405.75113040723,64.21428571428571,49.61240310077519,9.891809149778965,13.992850968465266,-4.101041818686301,5462.570666691665,5354.029333308336,5408.3,108.5413333833294,49.14996553258919,48.31795264750616,50.813991302755255,-53.87596899224806,-102.03450729127144,27.287136185669112,20473.25,233204,0.0,0.0,0.0
2013-02-27,5405.8,5403.6,5405.1,5406.057142857143,5401.774832273209,63.71428571428572,41.76706827309237,5.497213150422795,12.293723404856772,-6.7965102544339775,5461.965122045618,5348.234877954383,5405.1,113.73024409123536,46.20333619485274,47.61308049662168,43.38384759131485,-59.68992248062016,-59.03769459032587,0.0,20390.45,223651,0.0,0.0,0.0
2013-02-28,5387.0,5396.4,5398.1,5403.944444444444,5394.939133961475,69.07142857142857,31.679389312977108,-0.720743409192437,9.690830042046931,-10.411573451239368,5455.788455471929,5340.411544528071,5398.1,115.37691094385808,39.84615177848064,45.02410425724133,29.490246820959243,-72.86821705426357,-109.84764552799712,0.0,17242.05,195711,0.0,0.0,0.0
2013-03-01,5363.8,5387.3,5395.8,5401.27027027027,5386.37350215562,69.78571428571429,29.74910394265234,-7.578450190552758,6.236973995526994,-13.815424186079753,5464.089168440652,5327.510831559349,5395.8,136.57833688130268,32.378054674025854,40.80875439616951,15.516655229738546,-82.55813953488372,-112.64011841984713,0.0,14026.9,183650,0.0,0.0,0.0
2013-03-04,5336.0,5377.3,5391.9,5398.6578947368425,5378.337930521751,68.28571428571429,25.18796992481204,-13.104249518506547,2.368729292720285,-15.472978811226834,5471.89447349332,5311.905526506679,5391.9,159.98894698664117,27.01172637183119,36.2097450547234,8.615689006046779,-83.72093023255815,-113.12496284245506,0.0,12789.95,174988,0.0,0.0,0.0
2013-03-05,5322.2,5370.0,5388.0,5396.384615384615,5371.829556186346,66.92857142857143,29.64426877470356,-16.646066661278383,-1.434229898079448,-15.211836763198937,5476.0,5300.0,5388.0,176.0,24.46776590163423,32.29575200369368,8.811793697515327,-80.62015503875969,-92.26602787569745,10.70394416434766,12490.7,181905,0.0,0.0,0.0
2013-03-06,5311.2,5358.5,5384.4,5394.2,5365.845788930504,68.14285714285714,30.86419753086419,-19.311067936541804,-5.00959750577192,-14.301470430769884,5479.231484889332,5289.568515110667,5384.4,189.6629697786648,22.64259328842799,29.07803243193845,9.771715001407074,-81.0077519379845,-68.88217315319817,13.63418958331082,12275.95,176790,0.0,0.0,0.0
2013-03-07,5303.6,5345.3,5378.75,5391.707317073171,5358.812856651408,66.0,29.527559055118104,-22.535088104494207,-8.514695625516378,-14.02039247897783,5481.544378302154,5275.955621697846,5378.75,205.5887566043075,19.229429117349927,25.79516466040894,6.097958031231904,-87.59689922480621,-80.57240154817727,10.423609661667296,12095.7,171112,0.0,0.0,0.0
2013-03-08,5297.4,5330.6,5371.15,5388.9047619047615,5350.735441732227,66.28571428571429,25.93984962406016,-26.24011714657172,-12.059779929727448,-14.180337216844272,5481.438187085137,5260.861812914863,5371.15,220.576374170274,15.792018562309718,22.4607826277092,2.4544904315107487,-94.57364341085272,-84.11754796479585,1.806000582580836,12093.35,165684,0.0,0.0,0.0
2013-03-11,5298.2,5317.1,5365.55,5386.976744186047,5346.474923472015,67.64285714285714,36.20071684587814,-26.291178451371707,-14.9060596340563,-11.385118817315409,5477.187524346006,5253.912475653994,5365.55,223.2750486920122,19.903012374873143,21.60819254343052,16.492652037758397,-82.17054263565892,-56.144753466802406,26.45240638249668,12304.5,178835,0.0,0.0,0.0
2013-03-12,5292.2,5307.2,5357.85,5384.545454545455,5340.143978379442,63.85714285714285,22.727272727272734,-28.105643251982656,-17.54597635764157,-10.559666894341085,5470.844224351699,5244.8557756483015,5357.85,225.9884487033978,16.117677765584943,19.778020950815325,8.79699139512418,-92.24806201550388,-61.917384590427446,0.0,12047.25,174784,0.0,0.0,0.0
2013-03-13,5292.0,5301.6,5352.6,5382.844444444445,5337.08264710521,64.71428571428571,30.13698630136986,-26.97332201882091,-19.43144548987744,-7.541876528943469,5464.557510737451,5240.64248926255,5352.6,223.91502147490064,25.82448358975504,21.793508497128563,33.886433775008,-81.3953488372093,-49.99680919980576,18.374114837266944,11928.15,182136,0.0,0.0,0.0
2013-03-14,5292.2,5297.9,5347.15,5380.891304347826,5332.884299761856,62.92857142857143,28.94736842105263,-26.97536866498922,-20.9402301248998,-6.03513854008942,5459.593248843699,5234.7067511563,5347.15,224.88649768739924,27.63298905983669,23.740002018031277,35.418963143447534,-87.20930232558139,-48.43341579433147,15.42417954937314,12194.55,172159,0.0,0.0,0.0
2013-03-15,5298.6,5298.0,5342.65,5379.297872340426,5330.323890260726,56.142857142857146,27.272727272727263,-25.632523516945184,-21.87868880330888,-3.753834713636305,5454.060620300711,5231.239379699288,5342.65,222.8212406014227,34.25532603989113,27.24511002531789,48.27575806903761,-70.70063694267516,-42.18413566121398,16.906946264744388,11992.7,176890,0.0,0.0,0.0
2013-03-18,5297.6,5297.9,5337.6,5377.666666666667,5327.531138807324,44.71428571428572,33.75,-24.68718873124635,-22.44038878889637,-2.246799942349977,5446.818082173622,5228.381917826378,5337.6,218.4361643472439,36.586884026594085,30.35903469240996,49.04258269496235,-74.61538461538461,-30.162020258902377,57.89309683604984,12080.3,172231,0.0,0.0,0.0
2013-03-19,5300.0,5296.1,5333.05,5375.918367346939,5324.147220825675,43.85714285714285,34.61538461538461,-24.383155053205883,-22.82894204175828,-1.5542130114476045,5441.885897715683,5224.214102284317,5333.05,217.67179543136623,36.33155452519208,32.34987463667066,44.2949143022349,-79.83193277310924,-39.98633506373865,88.23365268347126,12162.25,168264,0.0,0.0,0.0
2013-03-20,5295.6,5293.8,5326.15,5374.12,5320.51415217561,37.71428571428572,39.320388349514566,-24.345713794876247,-23.132296392381875,-1.2134174024943718,5427.980147536808,5224.319852463192,5326.15,203.660295073616,33.17626023072506,32.62533650135546,34.278107689464264,-79.06976744186046,-37.937285949819625,100.0,11540.0,167124,0.0,0.0,0.0
2013-03-21,5295.0,5293.6,5319.45,5372.470588235294,5317.6080424446,34.214285714285715,45.94594594594594,-23.71984712473386,-23.249806538852276,-0.4700405858815877,5411.318269535069,5227.581730464931,5319.45,183.73653907013795,33.06278045232417,32.77115115167837,33.646039053615766,-72.5,-36.44907876116056,100.0,11183.2,168852,0.0,0.0,0.0
2013-03-22,5294.6,5296.6,5313.6,5371.153846153846,5316.312038402257,33.642857142857146,50.51020408163265,-21.842374980037675,-22.968320227089357,1.1259452470516784,5392.180565429103,5235.019434570898,5313.6,157.16113085820507,43.09448521383014,36.21226250572896,56.85893063003252,-55.0,-14.749712357940234,100.0,10173.4,172657,0.0,0.0,0.0
2013-03-25,5291.4,5294.5,5305.8,5369.528301886792,5313.329939506803,33.357142857142854,43.96135265700482,-21.63817458199901,-22.702291098071285,1.064116516072275,5357.510123207209,5254.089876792791,5305.8,103.42024641441822,38.67117727705635,37.03190076283809,41.949730305492864,-78.75,-34.8399993430298,76.4285080609389,8069.75,170226,0.0,0.0,0.0
2013-03-26,5290.2,5295.1,5301.15,5367.981481481482,5310.727088125203,32.0,44.44444444444444,-21.151827551261704,-22.39219838870937,1.2403708374476672,5340.359424216224,5261.940575783776,5301.15,78.4188484324477,36.30710064084458,36.79030072217359,35.34070047818656,-73.13432835820896,-29.923531322218487,78.16731589686515,7032.0,172520,0.0,0.0,0.0
2013-03-27,5290.8,5293.2,5297.4,5366.545454545455,5308.6578416370885,30.857142857142858,49.22279792746114,-20.2904237231769,-21.97184345560288,1.681419732425976,5323.4315597931145,5271.368440206885,5297.4,52.06311958622973,34.575104130933425,36.05190185842688,31.62150867594653,-68.65671641791045,-39.61057135903724,95.36619754859134,6615.65,173746,0.0,0.0,0.0
2013-03-28,5290.8,5292.9,5295.4,5365.178571428572,5306.880904338318,29.642857142857142,54.54545454545455,-19.304532704328267,-21.438381305347956,2.133848601019686,5316.579930917818,5274.220069082181,5295.4,42.35986183563728,33.65613002668289,35.253311247845545,30.46176758435757,-67.16417910447761,-31.55630701587953,100.0,5260.5,174583,0.0,0.0,0.0
2013-03-29,5287.8,5291.2,5294.6,5363.8421052631575,5305.177961068001,26.571428571428573,44.137931034482754,-18.391888370993,-20.829082718476965,2.4371943474839632,5315.459429270069,5273.740570729931,5294.6,41.71885854013817,33.548531128899704,34.68505120819693,31.275490970305256,-63.1578947368421,-48.75431790713767,67.29064039408864,4734.0,173052,0.0,0.0,0.0
2013-04-01,5283.2,5287.3,5292.6,5362.086206896552,5301.06577429962,26.642857142857142,43.83561643835616,-19.621105621274182,-20.58748729903641,0.9663816777622288,5317.709444647894,5267.490555352107,5292.6,50.21888929578745,27.204397096685824,32.19149983769323,17.230191614671014,-87.5,-130.03725417776587,60.730593607305934,4464.6,169778,0.0,0.0,0.0
2013-04-02,5276.6,5283.4,5289.75,5360.237288135593,5296.48808150918,24.928571428571427,28.346456692913375,-21.07851394418685,-20.685692628066494,-0.3928213161203544,5319.121486351998,5260.378513648002,5289.75,58.7429727039962,20.623826920178608,28.335608865188355,5.200263030159114,-93.50649350649353,-128.0810179414403,3.9370078740157424,4238.2,167389,0.0,0.0,0.0
2013-04-03,5271.6,5281.2,5287.5,5358.633333333333,5293.393978508306,25.285714285714285,38.21138211382114,-21.102654209212236,-20.76908494429565,-0.3335692649165871,5317.549082655221,5257.450917344779,5287.5,60.09816531044271,30.415884613452405,29.029034114609708,33.1895856111378,-52.33644859813084,-127.04088204329965,40.10840108401085,4097.05,169681,0.0,0.0,0.0
2013-04-04,5266.2,5278.5,5286.05,5358.533333333334,5290.499313888467,29.0,30.630630630630638,-20.960853514185143,-20.807438658273547,-0.1534148559115991,5317.927892025654,5254.1721079743465,5286.05,63.75578405130727,34.52227065398252,30.86011296106731,41.84658603981293,-57.26495726495727,-31.30663406695057,8.718554620194004,3928.8,167368,0.0,0.0,0.0
2013-04-09,5258.2,5273.0,5284.8,5358.133333333333,5286.546998280041,30.0,28.33333333333333,-21.7276950948426,-20.99148994558736,-0.7362051492552446,5320.409578841407,5249.190421158593,5284.8,71.2191576828136,33.27125735906527,31.66382776039996,36.486116556395885,-69.23076923076923,-87.36819976393576,0.0,3738.85,165739,0.0,0.0,0.0
2013-04-10,5252.4,5267.8,5281.15,5356.25,5281.447284158133,30.642857142857142,26.77165354330708,-23.35724111849322,-21.46464018016853,-1.892600938324691,5322.164888182594,5240.135111817405,5281.15,82.02977636518881,27.878843937382545,30.40216648606082,22.832198840025995,-82.90598290598291,-113.17664369540068,0.0,3229.0,162785,0.0,0.0,0.0
2013-04-11,5253.4,5265.0,5280.05,5353.216666666666,5279.214209476406,31.571428571428573,40.410958904109584,-22.373469585814743,-21.64640606129777,-0.7270635245169714,5322.354535031243,5237.745464968757,5280.05,84.60907006248635,31.40640877876785,30.736913916963168,32.74539850237721,-61.53846153846154,-78.65566922874808,49.10852986866261,3121.0,164676,0.0,0.0,0.0
2013-04-12,5252.6,5262.1,5277.65,5350.666666666667,5277.384284764367,31.928571428571427,39.583333333333336,-21.18819593957596,-21.55476403695341,0.3665680973774492,5318.705931041487,5236.594068958512,5277.65,82.11186208297477,34.32791924282529,31.933915692250544,39.11592634397478,-59.82905982905983,-52.11625754533375,46.128651202749154,2800.75,165623,0.0,0.0,0.0
2013-04-15,5255.4,5260.8,5276.85,5347.95,5277.34768621538,32.214285714285715,40.81632653061224,-18.661976462442,-20.97620652205113,2.3142300596091303,5317.265083166654,5236.4349168333465,5276.85,80.83016633330772,41.11889772883509,34.995576371112065,53.36554044428115,-45.2991452991453,-21.654684186893487,50.56806227645698,2428.75,168160,0.0,0.0,0.0
2013-04-16,5257.4,5257.8,5274.5,5344.816666666667,5275.600287528201,32.214285714285715,41.0958904109589,-17.905970017822256,-20.36215922120536,2.4561892033831008,5313.208084290917,5235.791915709083,5274.5,77.41616858183443,40.51801159130317,36.836388111175765,47.88125855155796,-60.68376068376068,-37.7917539582767,51.57463635079791,2284.1,166322,0.0,0.0,0.0
2013-04-17,5262.8,5257.6,5272.45,5341.95,5274.114545858848,33.214285714285715,41.0958904109589,-17.029828558158442,-19.695693088595974,2.6658645304375312,5309.558517961004,5235.341482038995,5272.45,74.21703592200902,40.40232111784884,38.025032446733455,45.1568984600796,-59.82905982905983,-61.3580266519501,51.57463635079791,2121.15,167722,0.0,0.0,0.0
2013-04-18,5263.8,5258.6,5271.0,5338.583333333333,5273.056017681815,33.142857142857146,41.0958904109589,-15.910004581976864,-18.938555387272157,3.028550805295289,5307.14590316742,5234.85409683258,5271.0,72.29180633484066,38.79385510420692,38.28130666589128,39.81895198083819,-57.26495726495727,-23.77289317320874,51.57463635079791,1960.5,168476,0.0,0.0,0.0
2013-04-19,5265.2,5258.9,5270.05,5335.833333333333,5272.479254093071,34.92857142857143,42.28187919463088,-14.532250702266538,-18.05729445027103,3.5250437480044923,5305.528533168503,5234.571466831498,5270.05,70.95706633700502,51.17121204477992,42.57794179218749,68.3577525499648,-53.84615384615385,-39.27801172365803,89.31232187902678,1954.95,169505,0.0,0.0,0.0
2013-04-22,5260.4,5257.9,5268.2,5332.65,5270.624087036588,35.57142857142857,38.888888888888886,-14.40401332412148,-17.326638225041123,2.922624900919644,5303.153201795951,5233.246798204049,5268.2,69.90640359190184,50.78080802985328,45.312230538076086,61.71796301340767,-65.8119658119658,-18.980282490609607,71.01067565669335,1911.75,168641,0.0,0.0,0.0
2013-04-23,5259.8,5258.6,5265.8,5329.966666666666,5269.231316842627,35.142857142857146,47.826086956521735,-13.900077904500904,-16.64132616093308,2.741248256432176,5296.767555177688,5234.832444822312,5265.8,61.93511035537631,52.03569020172037,47.55338375929085,61.00030308657941,-63.24786324786325,-12.82064767769647,100.0,1768.95,169590,0.0,0.0,0.0
2013-04-24,5260.4,5261.6,5264.7,5327.116666666667,5268.637858095711,34.357142857142854,53.6764705882353,-12.788446702184046,-15.870750269183274,3.082303566999228,5294.329999023021,5235.070000976979,5264.7,59.2599980460418,57.11470255872267,50.740490025768125,69.86312762463174,-57.26495726495727,-10.0029902946165,100.0,1678.05,170203,0.0,0.0,0.0
2013-04-25,5257.6,5260.7,5262.85,5324.1,5266.767585896119,32.714285714285715,44.60431654676259,-12.888582407465949,-15.27431669683981,2.385734289373863,5291.483987901737,5234.216012098264,5262.85,57.26797580347375,52.01586231187572,51.16561412113733,53.71635869335253,-77.88461538461539,-25.15459163576048,66.28055850993832,1667.0,168130,0.0,0.0,0.0
2013-04-26,5250.2,5257.7,5259.9,5320.8,5263.265911048869,29.0,39.490445859872615,-14.335827391290875,-15.086618835730023,0.7507914444391481,5289.336103861163,5230.463896138836,5259.9,58.87220772232649,42.63744054622561,48.32288959616676,31.266542446343323,-76.11940298507463,-104.38808438115753,47.27329048670536,1731.05,165623,0.0,0.0,0.0
2013-04-29,5245.2,5252.8,5256.8,5316.766666666666,5259.907252853739,29.071428571428573,42.75862068965517,-15.465881696096403,-15.162471407803302,-0.3034102882931009,5285.94645414922,5227.653545850781,5256.8,58.292908298439215,38.20273814192819,44.94950577808724,24.70920286961008,-70.66666666666667,-113.00062200319876,59.42046407396688,1844.85,162510,0.0,0.0,0.0
2013-05-03,5241.4,5250.6,5254.2,5314.866666666667,5257.725609724811,28.928571428571427,51.44927536231884,-15.457053795918,-15.221387885426244,-0.2356659104917575,5280.378335759875,5228.021664240125,5254.2,52.35667151975031,39.24626987239657,43.048427142857015,31.64195533147567,-58.66666666666666,-76.38184525493025,84.93874609656494,1893.2,165008,0.0,0.0,0.0
